1PROG.- EEAMX14A                                       COORDINACION DE COBRANZA                                       PAGINA:      01,,,18/09/2019 14:03,,,,,,,,,,,,,
                    DELEGACION: 06 REGIONAL COLIMA                          SUBDELEGACION: 03 MANZANILLO                             ,,,,,,,,,,,,,,,,
 COBR0603                                                                                                                            ,,,,,,,,,,,,,,,,
                                           PATRONES CON CREDITOS EN R.A.L.E. AL 30 08 2019                                           ,,,,,,,,,,,,,,,,
                                                   C R E D I T O S   P R O P I O S                                                   ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
TOTAL DE LA SUBDELEGACION:,PATRONES:, 374 ,CREDITOS:," 1,609 ",IMPORTE:," 35,050,610.58 ",,,,,,,,,,
"              ACT.ECO:             MODALIDAD(ES): 10....17        TIPO DOCTO(S): 00....89        INCIDENCIA(S): 00,..,55             ",,,,,,,,,,,,,,,,
             IMPORTE:                                          PERIODO:                       ANTIGUEDAD  MAYOR  A:                  ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
REGPATR,MOV,FEC MOV,SECTOR,NUM CRED,CE,PERIODO,TD,FALTA,FEC NOTIF,FEC INC,FEC. INCID.,DIAS,IMPORTE,DEL CONT,SUB CONT,OBSERVACIONES
A48-27447-10,2,24/07/2019,04,192014855,,06/2019,02,30/07/2019,,009,08/12/2019,18,997.28,,,
A48-27447-10,2,24/07/2019,04,198014855,,06/2019,80,30/07/2019,,009,08/12/2019,18,398.91,,,
A48-27447-10,2,24/07/2019,04,196014359,,03/2019,81,30/07/2019,,009,08/12/2019,18,248.38,,,
A48-27447-10,2,24/07/2019,04,192012379,,05/2019,02,28/06/2019,08/09/2019,009,07/12/2019,49,"1,787.73",,,
A48-27447-10,2,24/07/2019,04,198012379,,05/2019,80,28/06/2019,08/09/2019,009,07/12/2019,49,715.09,,,
A48-27447-10,2,24/07/2019,04,192015480,,07/2019,02,20/08/2019,,009,22/08/2019,8,797.82,,,
A48-27447-10,2,24/07/2019,04,198015480,,07/2019,80,20/08/2019,,009,22/08/2019,8,319.12,,,
A48-27457-10,1,10/07/2015,05,192014856,,06/2019,02,30/07/2019,13/08/2019,008,22/08/2019,8,719.71,,,
A48-27457-10,1,10/07/2015,05,198014856,,06/2019,80,30/07/2019,13/08/2019,008,22/08/2019,8,287.88,,,
A48-27457-10,1,10/07/2015,05,196014360,,03/2019,81,30/07/2019,13/08/2019,008,22/08/2019,8,164.32,,,
A48-27559-10,3,08/04/2017,06,191061883,,07/2019,02,31/07/2019,,000,31/07/2019,30,"2,928.36",,,
A48-27578-10,3,02/07/2018,00,188000732,,05/2018,82,09/06/2018,21/09/2018,025,24/10/2018,310,"2,300.00",,,
A48-27578-10,3,02/07/2018,00,183000732,,05/2018,03,09/06/2018,21/09/2018,025,24/10/2018,310,"5,750.00",,,
A48-27578-10,3,02/07/2018,00,182011060,,05/2018,02,07/02/2018,13/07/2018,025,19/07/2018,407,"6,674.83",,,
A48-27578-10,3,02/07/2018,00,188011060,,05/2018,80,07/02/2018,13/07/2018,025,19/07/2018,407,"2,669.93",,,
A48-27579-10,1,03/03/2015,05,188016504,,08/2018,80,27/09/2018,15/10/2018,025,25/10/2018,309,379.63,,,
A48-27579-10,1,03/03/2015,05,182016504,,08/2018,02,27/09/2018,15/10/2018,025,25/10/2018,309,949.09,,,
A48-27579-10,1,03/03/2015,05,192013033,,06/2019,02,18/07/2019,23/07/2019,031,23/08/2019,7,265.39,,,
A48-27579-10,1,03/03/2015,05,198013033,,06/2019,80,18/07/2019,23/07/2019,031,23/08/2019,7,106.15,,,
A48-27579-10,1,03/03/2015,05,196013763,,03/2019,81,18/07/2019,23/07/2019,031,23/08/2019,7,114.11,,,
A48-27588-10,1,01/04/2016,05,198013034,,06/2019,80,18/07/2019,18/07/2019,031,23/08/2019,7,"2,167.32",,,
A48-27588-10,1,01/04/2016,05,192013034,,06/2019,02,18/07/2019,18/07/2019,031,23/08/2019,7,"5,418.31",,,
A48-27588-10,1,01/04/2016,05,196014363,,03/2019,81,30/07/2019,13/08/2019,008,22/08/2019,8,"1,136.09",,,
A48-27588-10,1,01/04/2016,05,192015481,,07/2019,02,20/08/2019,22/08/2019,002,22/08/2019,8,"5,598.91",,,
A48-27588-10,1,01/04/2016,05,198015481,,07/2019,80,20/08/2019,22/08/2019,002,22/08/2019,8,"2,239.56",,,
A48-27630-10,1,28/01/2016,07,191061908,,07/2019,02,31/07/2019,,000,31/07/2019,30,838.26,,,
A48-27631-10,1,22/01/2016,07,192013036,,06/2019,02,18/07/2019,23/07/2019,031,23/08/2019,7,"9,204.85",,,
A48-27631-10,1,22/01/2016,07,198013036,,06/2019,80,18/07/2019,23/07/2019,031,23/08/2019,7,"3,681.94",,,
A48-27631-10,1,22/01/2016,07,198005144,,02/2019,80,20/03/2019,21/03/2019,023,20/05/2019,102,"2,867.49",,,
A48-27631-10,1,22/01/2016,07,196005946,,01/2019,81,20/03/2019,21/03/2019,023,20/05/2019,102,"1,840.02",,,
A48-27631-10,1,22/01/2016,07,196013765,,03/2019,81,18/07/2019,23/07/2019,031,23/08/2019,7,"2,419.79",,,
A48-27631-10,1,22/01/2016,07,198015483,,07/2019,80,20/08/2019,22/08/2019,002,22/08/2019,8,"3,815.40",,,
A48-27631-10,1,22/01/2016,07,192015483,,07/2019,02,20/08/2019,22/08/2019,002,22/08/2019,8,"9,538.52",,,
A48-27665-10,1,24/02/2016,00,169026839,,10/2013,88,12/07/2016,12/08/2016,014,05/12/2017,840,"46,151.41",,,
A48-27665-10,1,24/02/2016,00,169026840,,11/2013,88,12/07/2016,12/08/2016,014,05/12/2017,840,"76,919.03",,,
A48-27665-10,1,24/02/2016,00,169026841,,12/2013,88,12/07/2016,12/08/2016,014,05/12/2017,840,"79,483.00",,,
A48-27665-10,1,24/02/2016,00,169026842,,01/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"79,483.00",,,
A48-27665-10,1,24/02/2016,00,169026843,,02/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"71,791.10",,,
A48-27665-10,1,24/02/2016,00,169026844,,03/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"79,483.00",,,
A48-27665-10,1,24/02/2016,00,169026845,,04/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"76,919.03",,,
A48-27665-10,1,24/02/2016,00,169026846,,05/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"79,483.00",,,
A48-27665-10,1,24/02/2016,00,169026847,,06/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"76,919.03",,,
A48-27665-10,1,24/02/2016,00,169026848,,07/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"79,483.00",,,
A48-27665-10,1,24/02/2016,00,169026849,,08/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"79,483.00",,,
A48-27665-10,1,24/02/2016,00,169026850,,09/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"76,919.03",,,
A48-27665-10,1,24/02/2016,00,169026851,,10/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"79,483.00",,,
A48-27665-10,1,24/02/2016,00,169026852,,11/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"76,919.03",,,
A48-27665-10,1,24/02/2016,00,169026853,,12/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"79,483.00",,,
A48-27665-10,1,24/02/2016,00,169026854,,01/2015,88,12/07/2016,12/08/2016,014,05/12/2017,840,"79,483.00",,,
A48-27665-10,1,24/02/2016,00,169026855,,02/2015,88,12/07/2016,12/08/2016,014,05/12/2017,840,"71,791.00",,,
A48-27665-10,1,24/02/2016,00,169026856,,03/2015,88,12/07/2016,12/08/2016,014,05/12/2017,840,"79,483.00",,,
A48-27665-10,1,24/02/2016,00,169026857,,04/2015,88,12/07/2016,12/08/2016,014,05/12/2017,840,"76,919.03",,,
A48-27665-10,1,24/02/2016,00,169026858,,05/2015,88,12/07/2016,12/08/2016,014,05/12/2017,840,"79,483.00",,,
A48-27665-10,1,24/02/2016,00,169026859,,06/2015,88,12/07/2016,12/08/2016,014,05/12/2017,840,"76,919.03",,,
A48-27665-10,1,24/02/2016,00,169026860,,07/2015,88,12/07/2016,12/08/2016,014,05/12/2017,840,"79,483.01",,,
A48-27665-10,1,24/02/2016,00,169026861,,12/2016,88,12/07/2016,,014,05/12/2017,840,"1,460.80",,,
A48-27665-10,1,24/02/2016,00,169026862,,05/2013,88,12/07/2016,12/08/2016,014,05/12/2017,840,"12,064.28",,,
A48-27665-10,1,24/02/2016,00,169026863,,06/2013,88,12/07/2016,12/08/2016,014,05/12/2017,840,"40,884.53",,,
A48-27665-10,1,24/02/2016,00,169026864,,01/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"39,544.05",,,
A48-27665-10,1,24/02/2016,00,169026865,,02/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"40,884.53",,,
A48-27665-10,1,24/02/2016,00,169026866,,03/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"40,884.53",,,
A48-27665-10,1,24/02/2016,00,169026867,,04/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"41,554.76",,,
A48-27665-10,1,24/02/2016,00,169026868,,05/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"40,884.53",,,
A48-27665-10,1,24/02/2016,00,169026869,,06/2014,88,12/07/2016,12/08/2016,014,05/12/2017,840,"40,884.53",,,
A48-27665-10,1,24/02/2016,00,169026870,,01/2015,88,12/07/2016,12/08/2016,014,05/12/2017,840,"39,544.05",,,
A48-27665-10,1,24/02/2016,00,169026871,,02/2015,88,12/07/2016,12/08/2016,014,05/12/2017,840,"40,884.53",,,
A48-27665-10,1,24/02/2016,00,169026872,,03/2015,88,12/07/2016,12/08/2016,014,05/12/2017,840,"40,884.53",,,
A48-27665-10,1,24/02/2016,00,169026873,,04/2015,88,12/07/2016,12/08/2016,014,05/12/2017,840,"20,777.38",,,
A48-27665-10,1,24/02/2016,00,169026874,,10/2013,60,12/07/2016,12/08/2016,014,05/12/2017,840,"115,378.53",,,
A48-27665-10,1,24/02/2016,00,169026875,,11/2013,60,12/07/2016,12/08/2016,014,05/12/2017,840,"192,297.57",,,
A48-27665-10,1,24/02/2016,00,169026876,,12/2013,60,12/07/2016,12/08/2016,014,05/12/2017,840,"198,707.51",,,
A48-27665-10,1,24/02/2016,00,169026877,,01/2014,60,12/07/2016,12/08/2016,014,05/12/2017,840,"198,707.51",,,
A48-27665-10,1,24/02/2016,00,169026878,,02/2014,60,12/07/2016,12/08/2016,014,05/12/2017,840,"179,477.75",,,
A48-27665-10,1,24/02/2016,00,169026879,,03/2014,60,12/07/2016,12/08/2016,014,05/12/2017,840,"198,707.51",,,
A48-27665-10,1,24/02/2016,00,169026880,,04/2014,60,12/07/2016,12/08/2016,014,05/12/2017,840,"192,297.57",,,
A48-27665-10,1,24/02/2016,00,169026881,,05/2014,60,12/07/2016,12/08/2016,014,05/12/2017,840,"198,707.51",,,
A48-27665-10,1,24/02/2016,00,169026882,,06/2014,60,12/07/2016,12/08/2016,014,05/12/2017,840,"192,297.57",,,
A48-27665-10,1,24/02/2016,00,169026883,,07/2014,60,12/07/2016,12/08/2016,014,05/12/2017,840,"198,707.51",,,
A48-27665-10,1,24/02/2016,00,169026884,,08/2014,60,12/07/2016,12/08/2016,014,05/12/2017,840,"198,707.51",,,
A48-27665-10,1,24/02/2016,00,169026885,,09/2014,60,12/07/2016,12/08/2016,014,05/12/2017,840,"192,297.57",,,
A48-27665-10,1,24/02/2016,00,169026886,,10/2014,60,12/07/2016,12/08/2016,014,05/12/2017,840,"198,707.51",,,
A48-27665-10,1,24/02/2016,00,169026887,,11/2014,60,12/07/2016,12/08/2016,014,05/12/2017,840,"192,297.57",,,
A48-27665-10,1,24/02/2016,00,169026888,,12/2014,60,12/07/2016,12/08/2016,014,05/12/2017,840,"198,707.51",,,
A48-27665-10,1,24/02/2016,00,169026889,,01/2015,60,12/07/2016,12/08/2016,014,05/12/2017,840,"198,707.51",,,
A48-27665-10,1,24/02/2016,00,169026890,,02/2015,60,12/07/2016,12/08/2016,014,05/12/2017,840,"179,477.75",,,
A48-27665-10,1,24/02/2016,00,169026891,,03/2015,60,12/07/2016,12/08/2016,014,05/12/2017,840,"198,707.51",,,
A48-27665-10,1,24/02/2016,00,169026892,,04/2015,60,12/07/2016,12/08/2016,014,05/12/2017,840,"192,297.57",,,
A48-27665-10,1,24/02/2016,00,169026893,,05/2015,60,12/07/2016,12/08/2016,014,05/12/2017,840,"198,707.51",,,
A48-27665-10,1,24/02/2016,00,169026894,,06/2015,60,12/07/2016,12/08/2016,014,05/12/2017,840,"192,297.57",,,
A48-27665-10,1,24/02/2016,00,169026895,,07/2015,60,12/07/2016,12/08/2016,014,05/12/2017,840,"198,707.53",,,
A48-27670-10,1,26/02/2016,00,198013037,,06/2019,80,18/07/2019,23/07/2019,031,23/08/2019,7,783.04,,,
A48-27670-10,1,26/02/2016,00,192013037,,06/2019,02,18/07/2019,23/07/2019,031,23/08/2019,7,"1,957.60",,,
A48-27670-10,1,26/02/2016,00,196013767,,03/2019,81,18/07/2019,23/07/2019,031,23/08/2019,7,488.19,,,
A48-27670-10,1,26/02/2016,00,198015484,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,679.21,,,
A48-27679-10,3,27/04/2019,07,198013038,,06/2019,80,18/07/2019,24/07/2019,031,20/08/2019,10,681.62,,,
A48-27679-10,3,27/04/2019,07,196013768,,03/2019,81,18/07/2019,24/07/2019,031,20/08/2019,10,328.64,,,
A48-27701-10,2,05/07/2019,09,198003903,,01/2019,80,19/02/2019,26/02/2019,009,30/07/2019,31,"1,104.25",,,
A48-27701-10,2,05/07/2019,09,192003903,,01/2019,02,19/02/2019,26/02/2019,009,30/07/2019,31,"2,760.63",,,
A48-27701-10,2,05/07/2019,09,196000566,,06/2018,81,18/01/2019,19/02/2019,009,30/07/2019,31,467.19,,,
A48-27701-10,2,05/07/2019,09,196013770,,03/2019,81,18/07/2019,14/08/2019,009,19/07/2019,42,56.55,,,
A48-27701-10,2,05/07/2019,09,192001381,,12/2018,02,18/01/2019,19/02/2019,009,30/07/2019,31,"2,132.12",,,
A48-27701-10,2,05/07/2019,09,198001381,,12/2018,80,18/01/2019,19/02/2019,009,30/07/2019,31,"1,078.51",,,
A48-27706-10,1,13/03/2016,05,191061930,,07/2019,02,31/07/2019,,000,31/07/2019,30,956.11,,,
A48-27721-10,1,28/03/2016,05,198013039,,06/2019,80,18/07/2019,19/07/2019,031,23/08/2019,7,"1,170.61",,,
A48-27721-10,1,28/03/2016,05,192013039,,06/2019,02,18/07/2019,19/07/2019,031,23/08/2019,7,"2,926.53",,,
A48-27721-10,1,28/03/2016,05,196013771,,03/2019,81,18/07/2019,19/07/2019,031,23/08/2019,7,941.93,,,
A48-27721-10,1,28/03/2016,05,198015486,,07/2019,80,20/08/2019,22/08/2019,002,22/08/2019,8,935.75,,,
A48-27721-10,1,28/03/2016,05,192015486,,07/2019,02,20/08/2019,22/08/2019,002,22/08/2019,8,"2,339.39",,,
A48-27750-10,1,04/06/2016,00,192004456,,01/2019,02,28/02/2019,14/03/2019,025,30/04/2019,122,"1,626.94",,,
A48-27773-10,1,15/04/2016,06,198000713,,04/2019,82,06/04/2019,17/06/2019,003,19/07/2019,42,"40,295.37",,,
A48-27773-10,1,15/04/2016,06,198013040,,06/2019,80,18/07/2019,24/07/2019,031,20/08/2019,10,"43,368.68",,,
A48-27773-10,1,15/04/2016,06,198000745,,02/2019,82,06/04/2019,17/06/2019,003,19/07/2019,42,"11,343.52",,,
A48-27773-10,1,15/04/2016,06,196013772,,03/2019,81,18/07/2019,24/07/2019,031,20/08/2019,10,"35,193.18",,,
A48-27773-10,1,15/04/2016,06,192015487,,07/2019,02,20/08/2019,21/08/2019,002,21/08/2019,9,"68,296.42",,,
A48-27773-10,1,15/04/2016,06,198015487,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,"27,318.56",,,
A48-27820-10,1,05/11/2016,07,179029511,,10/2017,00,10/09/2017,10/12/2017,052,26/03/2018,522,"4,329.34",,,
A48-27904-10,1,30/05/2016,05,189030929,,05/2018,00,05/07/2018,05/11/2018,052,31/12/2018,242,"109,192.62",,,
A48-27914-10,3,17/04/2018,05,198015488,,07/2019,80,20/08/2019,,009,24/08/2019,6,807.77,,,
A48-27915-10,1,20/06/2016,05,188019140,,10/2018,80,21/11/2018,28/11/2018,025,17/12/2018,256,"1,776.50",,,
A48-27915-10,1,20/06/2016,05,182019140,,10/2018,02,21/11/2018,28/11/2018,025,17/12/2018,256,"4,441.26",,,
A48-27915-10,1,20/06/2016,05,186021383,,05/2018,81,30/11/2018,12/12/2018,025,13/12/2018,260,"1,092.90",,,
A48-27944-10,1,15/07/2016,05,191062015,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,728.35",,,
A48-27944-10,1,15/07/2016,05,198011878,,05/2019,80,18/06/2019,24/06/2019,023,08/12/2019,18,622.21,,,
A48-27944-10,1,15/07/2016,05,196011189,,02/2019,81,29/05/2019,17/06/2019,023,08/12/2019,18,418.22,,,
A48-27948-10,3,17/04/2019,07,198014860,,06/2019,80,30/07/2019,15/08/2019,008,22/08/2019,8,"1,440.66",,,
A48-27948-10,3,17/04/2019,07,196014365,,03/2019,81,30/07/2019,15/08/2019,008,22/08/2019,8,903.35,,,
A48-27977-10,1,08/03/2016,00,198013045,,06/2019,80,18/07/2019,19/07/2019,031,23/08/2019,7,"2,024.44",,,
A48-27977-10,1,08/03/2016,00,196013777,,03/2019,81,18/07/2019,19/07/2019,031,23/08/2019,7,"1,378.76",,,
A48-27977-10,1,08/03/2016,00,198015489,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,"2,091.89",,,
A48-27979-10,1,08/09/2016,09,198000483,,11/2016,82,30/04/2019,17/05/2019,023,20/06/2019,71,174.26,,,
A48-27983-10,1,08/01/2016,09,198014861,,06/2019,80,30/07/2019,14/08/2019,002,14/08/2019,16,118.17,,,
A48-27983-10,1,08/01/2016,09,196014366,,03/2019,81,30/07/2019,14/08/2019,002,14/08/2019,16,65.72,,,
A48-28003-10,3,17/12/2016,00,198000566,,12/2016,82,05/06/2019,13/06/2019,009,23/08/2019,7,118.98,,,
A48-28003-10,3,17/12/2016,00,193000566,,12/2016,03,05/06/2019,13/06/2019,009,23/08/2019,7,297.46,,,
A48-28012-10,1,31/08/2016,10,191062046,,07/2019,02,31/07/2019,,000,31/07/2019,30,"2,436.18",,,
A48-28021-10,1,09/02/2016,07,191062048,,07/2019,02,31/07/2019,,000,31/07/2019,30,"2,286.50",,,
A48-28050-10,1,26/09/2016,07,198001870,,12/2018,80,31/01/2019,02/12/2019,023,22/03/2019,161,651.6,,,
A48-28050-10,1,26/09/2016,07,198015490,,07/2019,80,20/08/2019,22/08/2019,002,22/08/2019,8,"1,071.48",,,
A48-28050-10,1,26/09/2016,07,192015490,,07/2019,02,20/08/2019,22/08/2019,002,22/08/2019,8,"2,678.70",,,
A48-28050-10,1,26/09/2016,07,196002298,,06/2018,81,31/01/2019,02/12/2019,023,22/03/2019,161,606.6,,,
A48-28069-10,1,28/09/2016,07,191062072,,07/2019,02,31/07/2019,,000,31/07/2019,30,"3,575.33",,,
A48-28070-10,1,14/09/2016,00,198011881,,05/2019,80,18/06/2019,19/06/2019,023,08/02/2019,28,"1,603.24",,,
A48-28070-10,1,14/09/2016,00,198015491,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,"1,781.37",,,
A48-28075-10,1,10/12/2016,05,191062074,,07/2019,02,31/07/2019,,000,31/07/2019,30,"6,329.87",,,
A48-28092-10,1,16/10/2016,00,198000815,,05/2019,82,07/03/2019,07/12/2019,023,08/12/2019,18,861.43,,,
A48-28092-10,1,16/10/2016,00,192003917,,01/2019,02,19/02/2019,21/02/2019,005,04/10/2019,142,"231,102.06",,,
A48-28092-10,1,16/10/2016,00,192005157,,02/2019,02,20/03/2019,21/03/2019,005,04/10/2019,142,"184,691.83",,,
A48-28092-10,1,16/10/2016,00,192001396,,12/2018,02,18/01/2019,25/01/2019,005,04/10/2019,142,"61,229.41",,,
A48-28093-10,1,16/10/2016,00,192003918,,01/2019,02,19/02/2019,21/02/2019,005,04/10/2019,142,"241,929.15",,,
A48-28093-10,1,16/10/2016,00,192005158,,02/2019,02,20/03/2019,21/03/2019,005,04/10/2019,142,"210,801.27",,,
A48-28093-10,1,16/10/2016,00,192001397,,12/2018,02,18/01/2019,25/01/2019,005,04/10/2019,142,"211,376.49",,,
A48-28111-10,3,27/04/2019,07,198012387,,05/2019,80,28/06/2019,15/07/2019,009,23/08/2019,7,952.29,,,
A48-28118-10,1,11/01/2016,02,198014867,,06/2019,80,30/07/2019,13/08/2019,002,13/08/2019,17,"2,324.00",,,
A48-28118-10,1,11/01/2016,02,196014371,,03/2019,81,30/07/2019,13/08/2019,002,13/08/2019,17,"1,035.95",,,
A48-28159-10,1,12/01/2016,00,199033016,,07/2019,88,22/07/2019,08/06/2019,002,08/06/2019,24,"1,689.80",,,
A48-28159-10,1,12/01/2016,00,199033065,,08/2017,88,29/07/2019,08/06/2019,002,08/06/2019,24,"1,695.52",,,
A48-28159-10,1,12/01/2016,00,199033066,,09/2017,88,29/07/2019,08/06/2019,002,08/06/2019,24,"6,358.24",,,
A48-28159-10,1,12/01/2016,00,199033067,,10/2017,88,29/07/2019,08/06/2019,002,08/06/2019,24,"6,570.19",,,
A48-28159-10,1,12/01/2016,00,199033068,,11/2017,88,29/07/2019,08/06/2019,002,08/06/2019,24,"6,358.24",,,
A48-28159-10,1,12/01/2016,00,199033069,,12/2017,88,29/07/2019,08/06/2019,002,08/06/2019,24,"6,570.19",,,
A48-28159-10,1,12/01/2016,00,199033070,,01/2018,88,29/07/2019,08/06/2019,002,08/06/2019,24,"6,570.19",,,
A48-28159-10,1,12/01/2016,00,199033071,,02/2018,88,29/07/2019,08/06/2019,002,08/06/2019,24,"5,934.36",,,
A48-28159-10,1,12/01/2016,00,199033072,,03/2018,88,29/07/2019,08/06/2019,002,08/06/2019,24,"6,570.19",,,
A48-28159-10,1,12/01/2016,00,199033073,,04/2018,88,29/07/2019,08/06/2019,002,08/06/2019,24,"6,358.24",,,
A48-28159-10,1,12/01/2016,00,199033074,,05/2018,88,29/07/2019,08/06/2019,002,08/06/2019,24,"6,570.19",,,
A48-28159-10,1,12/01/2016,00,199033075,,06/2018,88,29/07/2019,08/06/2019,002,08/06/2019,24,"6,358.24",,,
A48-28159-10,1,12/01/2016,00,199033076,,07/2018,88,29/07/2019,08/06/2019,002,08/06/2019,24,"6,570.19",,,
A48-28159-10,1,12/01/2016,00,199033077,,08/2018,88,29/07/2019,08/06/2019,002,08/06/2019,24,"5,086.60",,,
A48-28159-10,1,12/01/2016,00,199033078,,04/2017,88,29/07/2019,08/06/2019,002,08/06/2019,24,443.22,,,
A48-28159-10,1,12/01/2016,00,199033079,,05/2017,88,29/07/2019,08/06/2019,002,08/06/2019,24,"3,379.58",,,
A48-28159-10,1,12/01/2016,00,199033080,,06/2017,88,29/07/2019,08/06/2019,002,08/06/2019,24,"3,379.58",,,
A48-28159-10,1,12/01/2016,00,199033081,,01/2018,88,29/07/2019,08/06/2019,002,08/06/2019,24,"3,268.77",,,
A48-28159-10,1,12/01/2016,00,199033082,,02/2018,88,29/07/2019,08/06/2019,002,08/06/2019,24,"3,379.58",,,
A48-28159-10,1,12/01/2016,00,199033083,,03/2018,88,29/07/2019,08/06/2019,002,08/06/2019,24,"3,379.58",,,
A48-28159-10,1,12/01/2016,00,199033084,,04/2018,88,29/07/2019,08/06/2019,002,08/06/2019,24,"3,047.16",,,
A48-28159-10,1,12/01/2016,00,199033085,,08/2017,60,29/07/2019,08/06/2019,002,08/06/2019,24,"4,238.79",,,
A48-28159-10,1,12/01/2016,00,199033087,,09/2017,60,29/07/2019,08/06/2019,002,08/06/2019,24,"15,895.60",,,
A48-28159-10,1,12/01/2016,00,199033088,,10/2017,60,29/07/2019,08/06/2019,002,08/06/2019,24,"16,425.47",,,
A48-28159-10,1,12/01/2016,00,199033089,,11/2017,60,29/07/2019,08/06/2019,002,08/06/2019,24,"15,895.60",,,
A48-28159-10,1,12/01/2016,00,199033090,,12/2017,60,29/07/2019,08/06/2019,002,08/06/2019,24,"16,425.47",,,
A48-28159-10,1,12/01/2016,00,199033091,,01/2018,60,29/07/2019,08/06/2019,002,08/06/2019,24,"16,425.47",,,
A48-28159-10,1,12/01/2016,00,199033092,,02/2018,60,29/07/2019,08/06/2019,002,08/06/2019,24,"14,835.90",,,
A48-28159-10,1,12/01/2016,00,199033093,,03/2018,60,29/07/2019,08/06/2019,002,08/06/2019,24,"16,425.47",,,
A48-28159-10,1,12/01/2016,00,199033094,,04/2018,60,29/07/2019,08/06/2019,002,08/06/2019,24,"15,895.60",,,
A48-28159-10,1,12/01/2016,00,199033095,,05/2018,60,29/07/2019,08/06/2019,002,08/06/2019,24,"16,425.47",,,
A48-28159-10,1,12/01/2016,00,199033096,,06/2018,60,29/07/2019,08/06/2019,002,08/06/2019,24,"15,895.60",,,
A48-28159-10,1,12/01/2016,00,199033098,,08/2018,60,29/07/2019,08/06/2019,002,08/06/2019,24,"12,716.49",,,
A48-28159-10,1,12/01/2016,00,199033099,,07/2018,60,29/07/2019,08/06/2019,002,08/06/2019,24,"16,425.47",,,
A48-28199-10,1,01/10/2017,05,198011883,,05/2019,80,18/06/2019,24/06/2019,023,13/08/2019,17,"4,067.02",,,
A48-28199-10,1,01/10/2017,05,192015494,,07/2019,02,20/08/2019,21/08/2019,002,21/08/2019,9,"11,415.23",,,
A48-28199-10,1,01/10/2017,05,198015494,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,"4,566.09",,,
A48-28204-10,3,23/12/2017,00,196013785,,03/2019,81,18/07/2019,18/07/2019,031,13/08/2019,17,130.32,,,
A48-28211-10,1,17/01/2017,00,191062131,,07/2019,02,31/07/2019,,000,31/07/2019,30,315.97,,,
A48-28215-10,1,19/01/2017,09,198015496,,07/2019,80,20/08/2019,22/08/2019,002,22/08/2019,8,905.53,,,
A48-28215-10,1,19/01/2017,09,192015496,,07/2019,02,20/08/2019,22/08/2019,002,22/08/2019,8,"2,263.84",,,
A48-28229-10,3,11/08/2018,00,198013050,,06/2019,80,18/07/2019,25/07/2019,031,23/08/2019,7,"2,114.47",,,
A48-28229-10,3,11/08/2018,00,196013786,,03/2019,81,18/07/2019,25/07/2019,031,23/08/2019,7,"1,241.55",,,
A48-28233-10,1,30/01/2017,00,196013787,,03/2019,81,18/07/2019,24/07/2019,031,20/08/2019,10,"1,139.98",,,
A48-28247-10,1,02/03/2017,00,198010640,,04/2019,80,29/05/2019,06/10/2019,023,29/07/2019,32,568.02,,,
A48-28247-10,1,02/03/2017,00,198011886,,05/2019,80,18/06/2019,18/06/2019,023,29/07/2019,32,586.95,,,
A48-28247-10,1,02/03/2017,00,196011193,,02/2019,81,29/05/2019,06/10/2019,023,29/07/2019,32,299.13,,,
A48-28250-10,1,02/01/2017,00,198013052,,06/2019,80,18/07/2019,24/07/2019,032,28/08/2019,2,"3,271.45",,,
A48-28250-10,1,02/01/2017,00,192013052,,06/2019,02,18/07/2019,24/07/2019,032,28/08/2019,2,"9,087.35",,,
A48-28250-10,1,02/01/2017,00,196013789,,03/2019,81,18/07/2019,24/07/2019,032,28/08/2019,2,"3,476.03",,,
A48-28273-10,1,13/02/2017,00,192009253,,04/2019,02,21/05/2019,28/05/2019,052,23/08/2019,7,"15,134.32",,,
A48-28273-10,1,13/02/2017,00,191062161,,07/2019,02,31/07/2019,,000,31/07/2019,30,"38,349.62",,,
